obsnme,obsnme,obsval,response,response_org,offset
ucn1_00_002_007_010,ucn1_00_002_007_010,1.900533126690839e-06,8.554345669053771e-07,1.9465989449959412e-10,8.552399070108775e-07
ucn1_00_002_008_010,ucn1_00_002_008_010,2.6660968433327296e-06,1.193229544086561e-06,-6.514035413167211e-09,1.1997435794997282e-06
ucn1_00_002_009_010,ucn1_00_002_009_010,1.9760461369610303e-06,8.933755020390188e-07,4.154740406555257e-09,8.892207616324635e-07
ucn1_00_002_010_010,ucn1_00_002_010_010,2.0720842110244386e-06,9.073013647818951e-07,-2.5136530179102156e-08,9.324378949609973e-07
ucn1_00_002_011_010,ucn1_00_002_011_010,2.0109619057925726e-06,8.514342983319053e-07,-5.34985592747522e-08,9.049328576066576e-07
ucn1_00_002_012_010,ucn1_00_002_012_010,2.115203794626177e-06,9.003591365779011e-07,-5.148257100387837e-08,9.518417075817795e-07
ucn1_00_002_013_010,ucn1_00_002_013_010,2.1102815352706367e-06,9.616034173930758e-07,1.1976726521289468e-08,9.496266908717865e-07
ucn1_00_002_014_010,ucn1_00_002_014_010,1.7582087187792716e-06,8.062529395119662e-07,1.5059016061293992e-08,7.911939234506722e-07
ucn1_00_002_015_010,ucn1_00_002_015_010,2.908554340778297e-06,1.194831040915689e-06,-1.1401841243454457e-07,1.3088494533502335e-06
ucn1_00_002_016_010,ucn1_00_002_016_010,1.415058585036725e-06,6.408163028637303e-07,4.039939597204109e-09,6.367763632665262e-07
ucn1_00_002_017_010,ucn1_00_002_017_010,1.956946456084013e-06,9.461591957402317e-07,6.553329050242589e-08,8.806259052378058e-07
ucn1_00_002_018_010,ucn1_00_002_018_010,1.4474728835493533e-06,7.217386176633207e-07,7.037582006611181e-08,6.513627975972089e-07
ucn1_00_002_019_010,ucn1_00_002_019_010,2.682784130812608e-06,1.2041486569215671e-06,-3.104201944106427e-09,1.2072528588656736e-06
ucn1_00_002_020_010,ucn1_00_002_020_010,2.7513115795036487e-06,1.292156209685496e-06,5.406599890885422e-08,1.2380902107766419e-06
ucn1_00_002_021_010,ucn1_00_002_021_010,9.494327842296179e-07,4.2896462689253386e-07,1.719873989205821e-09,4.27244752903328e-07
ucn1_00_003_000_010,ucn1_00_003_000_010,1.5549437383288656e-06,6.975320754967323e-07,-2.192606751257119e-09,6.997246822479894e-07
ucn1_00_003_001_010,ucn1_00_003_001_010,7.413581962025374e-06,3.3387330342093117e-06,2.6211512978939136e-09,3.336111882911418e-06
ucn1_00_003_002_010,ucn1_00_003_002_010,2.1324489642305758e-06,1.0111063762102353e-06,5.150434230647645e-08,9.59602033903759e-07
ucn1_00_003_003_010,ucn1_00_003_003_010,3.1139968207961937e-06,1.3745259459976391e-06,-2.6772623360647706e-08,1.401298569358287e-06
ucn1_00_003_004_010,ucn1_00_003_004_010,5.9821907201269926e-06,2.8205460962058043e-06,1.2856027214865782e-07,2.6919858240571464e-06
ucn1_00_003_005_010,ucn1_00_003_005_010,3.32789682109538e-06,1.4958466076922268e-06,-1.7069618006939169e-09,1.4975535694929208e-06
ucn1_00_003_006_010,ucn1_00_003_006_010,1.4404158435016675e-06,6.901945154687329e-07,4.2007385892982507e-08,6.481871295757503e-07
ucn1_00_003_007_010,ucn1_00_003_007_010,5.488995702937999e-06,2.548727870679434e-06,7.867980435733402e-08,2.4700480663220997e-06
ucn1_00_003_008_010,ucn1_00_003_008_010,3.355303477591513e-06,1.4404773119187936e-06,-6.94092529973871e-08,1.5098865649161806e-06
ucn1_00_003_009_010,ucn1_00_003_009_010,3.01080054869538e-06,1.4096331611643027e-06,5.477291425138196e-08,1.3548602469129208e-06
ucn1_00_003_010_010,ucn1_00_003_010_010,2.972398119055587e-06,1.3494768818402728e-06,1.189772826525884e-08,1.337579153575014e-06
ucn1_00_003_011_010,ucn1_00_003_011_010,1.758328977013742e-06,7.77222378120484e-07,-1.4025661535699885e-08,7.912480396561839e-07
ucn1_00_003_012_010,ucn1_00_003_012_010,3.4571961428906487e-06,1.6678243857053089e-06,1.1208612140451713e-07,1.5557382643007917e-06
ucn1_00_003_013_010,ucn1_00_003_013_010,3.444186940842572e-06,1.6995682295063803e-06,1.4968410612722304e-07,1.5498841233791572e-06
ucn1_00_003_014_010,ucn1_00_003_014_010,2.9365284646632887e-06,1.3345723437469006e-06,1.3134534648420604e-08,1.3214378090984799e-06
ucn1_00_003_015_010,ucn1_00_003_015_010,4.3562170339302295e-06,2.010064449665027e-06,4.9766784396423895e-08,1.960297665268603e-06
ucn1_00_003_016_010,ucn1_00_003_016_010,1.313075424628964e-06,5.898333200292553e-07,-1.0506210537785478e-09,5.908839410830338e-07
ucn1_00_003_017_010,ucn1_00_003_017_010,2.5752993116190967e-06,1.2327114956810377e-06,7.382680545244426e-08,1.1588846902285934e-06
ucn1_00_003_018_010,ucn1_00_003_018_010,2.622904561197536e-06,1.1400232150748105e-06,-4.0283837464080646e-08,1.1803070525388912e-06
ucn1_00_003_019_010,ucn1_00_003_019_010,2.4607048754912296e-06,1.1983656949873504e-06,9.10485010162972e-08,1.1073171939710532e-06
ucn1_00_003_020_010,ucn1_00_003_020_010,1.3803763727007436e-06,6.206597571850256e-07,-5.096105303089815e-10,6.211693677153346e-07
ucn1_00_003_021_010,ucn1_00_003_021_010,3.148651137984526e-06,1.4153587506335945e-06,-1.5342614594421032e-09,1.4168930120930366e-06
ucn1_00_003_022_010,ucn1_00_003_022_010,7.296956838794366e-07,3.2602764045787745e-07,-2.3354172878689725e-09,3.283630577457464e-07
ucn1_00_004_000_010,ucn1_00_004_000_010,0.0005012825432808501,0.00022557701921655106,-1.2525983148888515e-10,0.00022557714447638254
ucn1_00_004_001_010,ucn1_00_004_001_010,4.251648464093465e-06,1.91794475964418e-06,4.702950802121371e-09,1.913241808842059e-06
ucn1_00_004_002_010,ucn1_00_004_002_010,3.256775228936932e-06,1.4667660878958932e-06,1.2172348742738002e-09,1.4655488530216193e-06
ucn1_00_004_003_010,ucn1_00_004_003_010,1.8417142790471286e-06,8.310958145358085e-07,2.324388964600749e-09,8.287714255712078e-07
ucn1_00_004_004_010,ucn1_00_004_004_010,2.986756469796952e-06,1.4812825892971567e-06,1.372421778885284e-07,1.3440404114086283e-06
ucn1_00_004_005_010,ucn1_00_004_005_010,1.8678589846399844e-06,7.872467689632024e-07,-5.3289774124790496e-08,8.405365430879929e-07
ucn1_00_004_006_010,ucn1_00_004_006_010,1.9881845829239017e-06,1.0273426156442825e-06,1.3265955332852675e-07,8.946830623157556e-07
ucn1_00_004_007_010,ucn1_00_004_007_010,2.547150017007676e-06,1.0855742584813327e-06,-6.064324917212146e-08,1.1462175076534542e-06
ucn1_00_004_008_010,ucn1_00_004_008_010,1.6441161004300492e-06,7.430951267973195e-07,3.242881603797282e-09,7.398522451935221e-07
ucn1_00_004_009_010,ucn1_00_004_009_010,2.731858576486125e-06,1.270125447273516e-06,4.0789087854759814e-08,1.2293363594187563e-06
ucn1_00_004_010_010,ucn1_00_004_010_010,3.351078905140951e-06,1.419612343661159e-06,-8.837316365226873e-08,1.5079855073134279e-06
ucn1_00_004_011_010,ucn1_00_004_011_010,2.0026602761157485e-06,8.995788006803671e-07,-1.6183235717195886e-09,9.011971242520867e-07
ucn1_00_004_012_010,ucn1_00_004_012_010,2.718230737479111e-06,1.2669483051096616e-06,4.3744473244061625e-08,1.2232038318656e-06
ucn1_00_004_013_010,ucn1_00_004_013_010,1.383167865208902e-06,6.21917444299263e-07,-5.080950447429064e-10,6.224255393440059e-07
ucn1_00_004_014_010,ucn1_00_004_014_010,3.137202646762354e-06,1.4418649843486997e-06,3.01237933056405e-08,1.4117411910430591e-06
ucn1_00_004_015_010,ucn1_00_004_015_010,2.5755096635805163e-06,9.469073892806553e-07,-2.1207195933057693e-07,1.1589793486112322e-06
ucn1_00_004_016_010,ucn1_00_004_016_010,2.246213679220193e-06,1.0022180334974332e-06,-8.578122151653492e-09,1.0107961556490867e-06
