obsnme,obsval
ucn1_00_005_021_010,6.014399048082342e-06
ucn1_00_005_022_010,2.5385478597156336e-06
ucn1_00_005_023_010,2.8819458029624156e-06
ucn1_00_006_000_010,0.0005004682869588818
ucn1_00_006_001_010,2.5073458998782443e-06
ucn1_00_006_002_010,2.232508672938493e-06
ucn1_00_006_003_010,2.4589828391783167e-06
ucn1_00_006_004_010,1.932047084627072e-06
ucn1_00_006_005_010,1.7555617544987842e-06
ucn1_00_006_006_010,2.3161108908002162e-06
ucn1_00_006_007_010,4.95125931726999e-06
ucn1_00_006_008_010,1.3518572285527432e-06
ucn1_00_006_009_010,4.1139063950364285e-06
ucn1_00_006_010_010,2.6757877081401435e-06
ucn1_00_006_011_010,2.2557017868817738e-06
ucn1_00_006_012_010,2.9548786864636216e-06
ucn1_00_006_013_010,1.3723058114328383e-06
ucn1_00_006_014_010,3.604223154586601e-06
ucn1_00_006_015_010,2.05857163255713e-06
ucn1_00_006_016_010,2.3517355503874903e-06
ucn1_00_006_017_010,1.2319874484339587e-06
ucn1_00_006_018_010,2.9336050523823704e-06
ucn1_00_006_019_010,2.5980983616115388e-06
ucn1_00_006_020_010,3.8644100676377235e-06
ucn1_00_006_021_010,2.2945098531352414e-06
ucn1_00_006_022_010,2.9386060567614996e-06
ucn1_00_006_023_010,7.240787240919163e-06
ucn1_00_006_024_010,3.288049151669016e-05
ucn1_00_007_000_010,8.374592761635891e-06
ucn1_00_007_001_010,9.492535859675241e-06
ucn1_00_007_002_010,1.378401643575035e-06
ucn1_00_007_003_010,2.6256490600151915e-06
ucn1_00_007_004_010,3.3065397170682548e-06
ucn1_00_007_005_010,1.5595256097567393e-06
ucn1_00_007_006_010,2.3205409897466646e-06
ucn1_00_007_007_010,3.3503903369760427e-06
ucn1_00_007_008_010,1.8378252049843035e-06
ucn1_00_007_009_010,2.8599593608216212e-06
ucn1_00_007_010_010,2.0386550184932677e-06
ucn1_00_007_011_010,1.6551770200279666e-06
ucn1_00_007_012_010,1.8851024307676089e-06
ucn1_00_007_013_010,1.474132942418469e-06
ucn1_00_007_014_010,1.594986024377694e-06
ucn1_00_007_015_010,1.621292160181411e-06
ucn1_00_007_016_010,2.710775079263629e-06
ucn1_00_007_017_010,3.885460859845588e-06
ucn1_00_007_018_010,2.6726738335223014e-06
ucn1_00_007_019_010,2.837185762811307e-06
ucn1_00_007_020_010,3.3812538556109354e-06
ucn1_00_007_021_010,3.5293951268182037e-06
ucn1_00_007_022_010,3.3309180761414427e-06
ucn1_00_007_023_010,5.8101038804058665e-05
ucn1_00_007_024_010,1.9779596163128387e-05
ucn1_00_007_025_010,1.936266306797919e-05
ucn1_00_008_000_010,0.0005015290404800214
ucn1_00_008_001_010,0.0005007519093078159
ucn1_00_008_002_010,2.0437811479097093e-06
ucn1_00_008_003_010,1.0598477421788677e-06
ucn1_00_008_004_010,2.278870637458807e-06
ucn1_00_008_005_010,1.5027539466865143e-06
ucn1_00_008_006_010,2.146811961894951e-06
ucn1_00_008_007_010,1.2970396715586562e-06
ucn1_00_008_008_010,2.0155941194228776e-06
ucn1_00_008_009_010,2.2942823584076795e-06
ucn1_00_008_010_010,2.3299334253079638e-06
ucn1_00_008_011_010,2.1393492576268436e-06
ucn1_00_008_012_010,2.532531323686845e-06
ucn1_00_008_013_010,1.5156231606098564e-06
ucn1_00_008_014_010,3.4357049351760086e-06
ucn1_00_008_015_010,1.896960044684598e-06
ucn1_00_008_016_010,1.915837883893709e-06
ucn1_00_008_017_010,2.3672667088843512e-06
ucn1_00_008_018_010,3.896866749527398e-06
ucn1_00_008_019_010,2.696668266593401e-06
ucn1_00_008_020_010,4.502344870993724e-06
ucn1_00_008_021_010,5.513986967049043e-05
ucn1_00_008_022_010,1.9433515880132214e-06
ucn1_00_008_023_010,1.7856631840777303e-06
ucn1_00_008_024_010,0.0004488296778443871
ucn1_00_008_025_010,0.0011264612487329208
ucn1_00_009_000_010,0.000501713518958284
ucn1_00_009_001_010,0.0005010115701333579
ucn1_00_009_002_010,2.2809666285235446e-06
ucn1_00_009_003_010,3.909223811532618e-06
ucn1_00_009_004_010,3.10595135957683e-06
ucn1_00_009_005_010,2.422370848621955e-06
ucn1_00_009_006_010,2.6797048171361253e-06
ucn1_00_009_007_010,7.035074518629235e-06
ucn1_00_009_008_010,1.8371593321730175e-06
ucn1_00_009_009_010,2.8537397159158748e-06
ucn1_00_009_010_010,1.862358358417685e-06
ucn1_00_009_011_010,2.689642594735506e-06
ucn1_00_009_012_010,2.5956682682346413e-06
ucn1_00_009_013_010,3.1564516828380765e-06
ucn1_00_009_014_010,2.2523735870736587e-06
ucn1_00_009_015_010,2.723534366431175e-06
ucn1_00_009_016_010,1.8724605450540888e-06
ucn1_00_009_017_010,3.2926136503667392e-06
ucn1_00_009_018_010,2.548382543027044e-06
ucn1_00_009_019_010,3.5945882489277454e-06
ucn1_00_009_020_010,3.983618184707958e-05
ucn1_00_009_021_010,1.992355901452192e-06
ucn1_00_009_022_010,0.0036817059451887944
ucn1_00_009_023_010,0.0025536547795489127
ucn1_00_009_024_010,0.0005021153756166754
ucn1_00_009_025_010,0.0009579072194083531
ucn1_00_009_026_010,0.003398919184862216
ucn1_00_010_000_010,0.0005017483092694536
ucn1_00_010_001_010,0.000500797061048159
ucn1_00_010_002_010,1.0308297774769725e-05
ucn1_00_010_003_010,1.5300001711094797e-05
ucn1_00_010_004_010,1.5792672923983014e-06
ucn1_00_010_005_010,3.005505354231695e-06
ucn1_00_010_006_010,2.1721839548907815e-06
ucn1_00_010_007_010,3.6623581733119547e-06
ucn1_00_010_008_010,1.933992233851731e-06
ucn1_00_010_009_010,3.2026842153353504e-06
ucn1_00_010_010_010,3.4140923620357567e-06
ucn1_00_010_011_010,3.4304172469091157e-06
ucn1_00_010_012_010,2.3942585434597082e-06
ucn1_00_010_013_010,2.87681426160611e-06
ucn1_00_010_014_010,3.1012552230847293e-06
ucn1_00_010_015_010,2.7525917255900055e-06
ucn1_00_010_016_010,4.495443398030298e-06
ucn1_00_010_017_010,2.5073498509921863e-06
ucn1_00_010_018_010,2.602249408560609e-05
ucn1_00_010_019_010,2.9375005082607226e-05
ucn1_00_010_020_010,0.004883052930825647
ucn1_00_010_021_010,0.0030585490903413067
ucn1_00_010_022_010,0.003800130353369655
ucn1_00_010_023_010,0.0032042395849274305
ucn1_00_010_024_010,0.002207544961965369
ucn1_00_010_025_010,0.0003806688163150117
ucn1_00_010_026_010,0.001602342449140293
ucn1_00_011_000_010,0.0003776825813129159
ucn1_00_011_001_010,0.0004996373550802468
ucn1_00_011_002_010,0.0004998943617332415
ucn1_00_011_003_010,0.0005011241851464911
ucn1_00_011_004_010,3.6696881131209514e-06
ucn1_00_011_005_010,4.8215749752159545e-06
ucn1_00_011_006_010,4.160868747309737e-06
ucn1_00_011_007_010,3.4022992119481164e-06
ucn1_00_011_008_010,2.3550290973146536e-06
ucn1_00_011_009_010,2.480785622358004e-06
ucn1_00_011_010_010,2.945428222818209e-06
ucn1_00_011_011_010,1.966146203109808e-06
ucn1_00_011_012_010,2.3831161147082274e-06
ucn1_00_011_013_010,2.2012761291903204e-06
ucn1_00_011_014_010,3.287169000861523e-06
ucn1_00_011_015_010,2.773234483969824e-06
ucn1_00_011_016_010,2.4295993147148095e-05
ucn1_00_011_017_010,4.9592755946620374e-05
ucn1_00_011_018_010,9.526046496875879e-07
