1  1808500.0,5872500.0  1809500.0,5872500.0 
2  1809500.0,5872500.0  1809500.0,5873500.0 
3  1809500.0,5873500.0  1810500.0,5873500.0 
4  1810500.0,5873500.0  1811500.0,5873500.0 
5  1811500.0,5873500.0  1811500.0,5874500.0 
6  1811500.0,5874500.0  1811500.0,5875500.0 
7  1811500.0,5875500.0  1811500.0,5876500.0 
8  1811500.0,5876500.0  1812500.0,5876500.0 
9  1812500.0,5876500.0  1812500.0,5876500.0 
10  1816500.0,5866500.0  1816500.0,5867500.0 
11  1816500.0,5867500.0  1816500.0,5868500.0 
12  1816500.0,5868500.0  1815500.0,5868500.0 
13  1815500.0,5868500.0  1815500.0,5869500.0 
14  1815500.0,5869500.0  1815500.0,5870500.0 
15  1815500.0,5870500.0  1814500.0,5870500.0 
16  1814500.0,5870500.0  1814500.0,5871500.0 
17  1814500.0,5871500.0  1814500.0,5872500.0 
18  1814500.0,5872500.0  1813500.0,5872500.0 
19  1813500.0,5872500.0  1813500.0,5873500.0 
20  1813500.0,5873500.0  1813500.0,5874500.0 
21  1813500.0,5874500.0  1812500.0,5874500.0 
22  1812500.0,5874500.0  1812500.0,5874500.0 
23  1819500.0,5816500.0  1818500.0,5816500.0 
24  1818500.0,5816500.0  1818500.0,5815500.0 
25  1818500.0,5815500.0  1817500.0,5815500.0 
26  1817500.0,5815500.0  1817500.0,5816500.0 
27  1817500.0,5816500.0  1816500.0,5816500.0 
28  1816500.0,5816500.0  1816500.0,5817500.0 
29  1816500.0,5817500.0  1816500.0,5818500.0 
30  1816500.0,5818500.0  1816500.0,5819500.0 
31  1816500.0,5819500.0  1815500.0,5819500.0 
32  1815500.0,5819500.0  1816500.0,5819500.0 
33  1816500.0,5819500.0  1816500.0,5820500.0 
34  1816500.0,5820500.0  1815500.0,5820500.0 
35  1815500.0,5820500.0  1816500.0,5820500.0 
36  1816500.0,5820500.0  1816500.0,5821500.0 
37  1816500.0,5821500.0  1815500.0,5821500.0 
38  1815500.0,5821500.0  1815500.0,5822500.0 
